Price($),Milage,Badge
31150,13390,Good Deal 
58981,7348,Great Deal
51999,55121,Great Deal
25689,49126,Good Deal 
31591,84621,Good Deal
55800,25990,Good Deal 
61000,13430,Fair Deal
25493,49550,Fair Deal
29791,16794,Fair Deal
13899,49752,Great Deal 
33958,53767,Good Deal
57999,54668,Good Deal
27292,27100,Fair Deal
28989,49234,Good Deal
41588,18137,Fair Deal
32797,80825,Good Deal 
23169,47205,Good Deal
62998,3758,Great Deal
23444,64062,Good Deal 
17980,47337,Great Deal 
29446,62598,Good Deal
16485,168092,Good Deal
32367,18142,Good Deal
41900,33585,Good Deal
28459,30020,Great Deal 
35980,81870,Fair Deal
38200,21338,Good Deal 
30989,57116,Good Deal 
37000,17313,Good Deal 
31988,32441,Great Deal 
39602,18443,Great Deal 
40888,18645,Fair Deal
28500,82539,Good Deal
34809,36286,Good Deal
40888,19918,Good Deal
24992,48367,Great Deal 
35389,67321,Good Deal 
30683,52941,Great Deal 
55100,49630,Great Deal 
56500,4121,Good Deal 
18900,49549,Great Deal 
52988,105776,Great Deal 
42500,15757,Great Deal 
30486,28543,Good Deal
37729,20501,Great Deal 
27191,50325,Good Deal
21898,50902,Good Deal 
30995,23263,Good Deal 
38811,33342,Good Deal
27750,56960,Good Deal
19999,33178,Fair Deal
38950,32825,Great Deal
22900,25189,Good Deal 
18992,74460,Good Deal 
23891,68350,Great Deal 
14391,88057,Good Deal
18995,45968,Great Deal 
11995,110209,Fair Deal
47134,34722,Good Deal 
17486,114073,Good Deal
34664,49732,Good Deal
43500,596,Good Deal
41488,35217,Fair Deal
38994,13013,Good Deal 
39800,29894,Good Deal
16995,62879,Good Deal
14999,150432,Good Deal 
35802,5462,Good Deal
9995,76322,Good Deal 
27998,24899,Good Deal
27885,71502,Good Deal
41900,23935,Fair Deal
47990,30289,Good Deal
37139,34358,Good Deal
32987,45830,Great Deal 
44995,20423,Fair Deal
37800,60423,Good Deal
21400,91140,Good Deal
55990,14789,Good Deal
26490,90730,Good Deal
25706,55043,Good Deal 
17995,105875,Great Deal 
31900,41960,Good Deal
47990,15994,Good Deal
43900,27478,Good Deal
13990,76947,Great Deal 
29229,68814,Good Deal
36888,52686,Good Deal
21997,88398,Fair Deal
23950,23341,Good Deal
39835,31471,Good Deal
36991,22640,Good Deal 
31995,85179,Great Deal 
40552,34973,Good Deal
37997,14968,Good Deal
44987,65178,Good Deal
24500,36162,Good Deal 
36356,49714,Fair Deal
32953,53673,Fair Deal
26999,26500,Fair Deal
18998,134389,Fair Deal
17900,122000,Good Deal
31988,61239,Good Deal
19995,160778,Good Deal 
26245,46789,Good Deal
29744,17094,Good Deal
39786,15729,Good Deal 
32339,41261,Good Deal
23995,15883,Great Deal 
26492,29899,Good Deal
24992,26076,Good Deal
34354,46042,Good Deal
21905,47369,Good Deal
34962,13144,Good Deal
25995,10493,Great Deal 
18490,29990,Good Deal 
35490,13313,Fair Deal
27399,34746,Fair Deal
26999,25803,Fair Deal
36929,60450,Good Deal
38995,25987,Good Deal
24990,43819,Fair Deal
54885,5404,Great Deal 
34980,33373,Good Deal
32874,81089,Fair Deal
21998,50151,Fair Deal
7525,166589,Great Deal 
39539,34414,Good Deal
39015,11988,Good Deal
38482,50988,Fair Deal
26873,67884,Good Deal 
34000,6108,Fair Deal
44073,38908,Good Deal 
17888,130540,Good Deal
24399,47951,Good Deal
17600,147827,Good Deal 
24308,32770,Great Deal 
56998,9954,Good Deal
38099,58811,Good Deal 
22965,75228,Fair Deal
40947,21481,Good Deal
37950,41335,Good Deal
26987,46200,Good Deal 
30791,19010,Fair Deal
39973,48373,Good Deal
39997,28717,Good Deal
31525,31284,Good Deal 
50550,18752,Good Deal
46288,38092,Good Deal
36650,49800,Good Deal
28500,18766,Good Deal
37998,55953,Fair Deal
19999,34610,Good Deal
20490,12068,Good Deal
22880,22689,Good Deal
21713,67000,Fair Deal
38048,81015,Good Deal 
40999,43395,Good Deal 
48995,3466,Fair Deal
20998,105708,Good Deal
29715,42954,Good Deal
37100,63325,Good Deal
27988,30453,Good Deal
20995,48937,Fair Deal
32995,9653,Good Deal 
28744,14897,Good Deal
38909,63301,Great Deal
38996,12298,Good Deal
24595,60084,Good Deal
41455,23102,Good Deal
24995,70400,Great Deal 
18998,118634,Fair Deal
32998,25738,Great Deal 
47500,33576,Good Deal 
47494,39728,Fair Deal
14900,152511,Good Deal
34798,37955,Good Deal
29135,16911,Good Deal
33427,58490,Good Deal 
21990,147033,Good Deal 
12000,64108,Great Deal 
12680,91839,Good Deal
13985,114163,Fair Deal
19995,15680,Great Deal 
20248,73648,Fair Deal
39998,62500,Fair Deal
43998,16592,Good Deal
32739,25517,Fair Deal
36990,56100,Good Deal 
36500,68705,Great Deal 
27995,30351,Great Deal 
47974,19878,Good Deal
40950,53814,Fair Deal
31112,29837,Good Deal
53957,18149,Good Deal
40256,62057,Good Deal 
18221,79686,Good Deal
38990,4810,Good Deal
26397,48973,Good Deal
7994,149506,Good Deal
29398,65059,Good Deal
27999,35008,Good Deal
36891,21973,Fair Deal
27980,42919,Good Deal
47480,15223,Good Deal 
39474,34975,Fair Deal
44777,19482,Good Deal
42315,35428,Good Deal
25785,38750,Good Deal 
29890,27989,Great Deal 
50992,16408,Good Deal
39361,37957,Good Deal
31700,14736,Great Deal 
39398,88252,Fair Deal
49784,17484,Fair Deal
28982,35102,Great Deal 
31499,12489,Good Deal
19966,38310,Fair Deal
39424,34502,Good Deal
40500,11707,Good Deal
44786,20147,Fair Deal
35094,78694,Good Deal
28795,28633,Good Deal
29495,21384,Good Deal
38999,48827,Good Deal 
26994,47500,Good Deal
41900,31967,Good Deal
26319,39923,Good Deal
38000,36868,Good Deal
33874,15405,Good Deal
52895,12086,Fair Deal
44900,34824,Good Deal
23699,13089,Great Deal 
28415,35473,Good Deal 
23690,48188,Good Deal
33991,31237,Good Deal 
38200,35367,Fair Deal
33494,44818,Good Deal
35457,21617,Good Deal
14335,109590,Good Deal 
29688,88542,Good Deal
9499,220022,Fair Deal
33487,57631,Good Deal
25992,23105,Good Deal
20290,20214,Good Deal 
29998,22253,Good Deal
47541,19511,Good Deal
21950,51936,Good Deal
19634,64726,Good Deal
41680,56757,Good Deal
25408,31149,Great Deal 
40995,47766,Good Deal
54790,16444,Fair Deal
27894,44129,Great Deal 
18999,61192,Fair Deal
21277,45208,Great Deal 
46296,16238,Good Deal
31990,48031,Great Deal
21499,73248,Good Deal
25500,81700,Fair Deal
22491,98011,Fair Deal
19075,47452,Great Deal 
31999,30041,Good Deal
60995,3977,Great Deal
25475,14718,Good Deal
16888,62467,Good Deal 
22591,69240,Good Deal
31682,47584,Fair Deal
20000,109001,Fair Deal
30740,83011,Good Deal 
38159,60101,Good Deal
25156,10020,Fair Deal
32995,18810,Good Deal
49701,8930,Good Deal
49158,48642,Fair Deal
27895,13941,Good Deal
16995,49284,Good Deal
14280,105761,Good Deal
18998,58601,Good Deal
21900,30221,Good Deal
49998,18655,Good Deal
30642,22201,Good Deal
41995,57308,Fair Deal
10260,232537,Fair Deal
38691,21011,Good Deal
46550,17475,Good Deal 
61991,12133,Great Deal
21499,63480,Good Deal 
37990,35700,Good Deal
27975,47027,Good Deal
55999,14687,Good Deal
42713,34505,Good Deal
14485,173723,Good Deal
6995,175149,Good Deal
50191,2918,Good Deal
39987,62599,Fair Deal
38981,15559,Great Deal
29995,16785,Fair Deal
27955,14344,Fair Deal
31000,13944,Great Deal 
51990,14145,Good Deal 
28898,20065,Fair Deal
29950,63516,Fair Deal
18771,110856,Good Deal
38487,38345,Good Deal
21991,152640,Fair Deal
17993,110930,Good Deal
33991,37672,Great Deal
38972,43899,Good Deal
